date,sst,status
1979-01-01,20.0840,FINAL
1979-01-02,20.0812,FINAL
1979-01-03,20.0873,FINAL
1979-01-04,20.1005,FINAL
1979-01-05,20.1160,FINAL
1979-01-06,20.1316,FINAL
1979-01-07,20.1453,FINAL
1979-01-08,20.1530,FINAL
1979-01-09,20.1559,FINAL
1979-01-10,20.1554,FINAL
1979-01-11,20.1520,FINAL
1979-01-12,20.1446,FINAL
1979-01-13,20.1339,FINAL
1979-01-14,20.1257,FINAL
1979-01-15,20.1259,FINAL
1979-01-16,20.1315,FINAL
1979-01-17,20.1355,FINAL
1979-01-18,20.1381,FINAL
1979-01-19,20.1385,FINAL
1979-01-20,20.1402,FINAL
1979-01-21,20.1443,FINAL
1979-01-22,20.1514,FINAL
1979-01-23,20.1620,FINAL
1979-01-24,20.1729,FINAL
1979-01-25,20.1830,FINAL
1979-01-26,20.1934,FINAL
1979-01-27,20.2050,FINAL
1979-01-28,20.2192,FINAL
1979-01-29,20.2349,FINAL
1979-01-30,20.2458,FINAL
1979-01-31,20.2531,FINAL
1979-02-01,20.2563,FINAL
1979-02-02,20.2589,FINAL
1979-02-03,20.2573,FINAL
1979-02-04,20.2538,FINAL
1979-02-05,20.2500,FINAL
1979-02-06,20.2482,FINAL
1979-02-07,20.2504,FINAL
1979-02-08,20.2593,FINAL
1979-02-09,20.2729,FINAL
1979-02-10,20.2881,FINAL
1979-02-11,20.2986,FINAL
1979-02-12,20.3005,FINAL
1979-02-13,20.2955,FINAL
1979-02-14,20.2888,FINAL
1979-02-15,20.2799,FINAL
1979-02-16,20.2708,FINAL
1979-02-17,20.2587,FINAL
1979-02-18,20.2504,FINAL
1979-02-19,20.2499,FINAL
1979-02-20,20.2545,FINAL
1979-02-21,20.2614,FINAL
1979-02-22,20.2695,FINAL
1979-02-23,20.2762,FINAL
1979-02-24,20.2825,FINAL
1979-02-25,20.2899,FINAL
1979-02-26,20.2969,FINAL
1979-02-27,20.3033,FINAL
1979-02-28,20.3066,FINAL
1979-03-01,20.3060,FINAL
1979-03-02,20.3039,FINAL
1979-03-03,20.3032,FINAL
1979-03-04,20.3065,FINAL
1979-03-05,20.3151,FINAL
1979-03-06,20.3250,FINAL
1979-03-07,20.3342,FINAL
1979-03-08,20.3393,FINAL
1979-03-09,20.3387,FINAL
1979-03-10,20.3338,FINAL
1979-03-11,20.3273,FINAL
1979-03-12,20.3192,FINAL
1979-03-13,20.3088,FINAL
1979-03-14,20.2961,FINAL
1979-03-15,20.2869,FINAL
1979-03-16,20.2855,FINAL
1979-03-17,20.2873,FINAL
1979-03-18,20.2888,FINAL
1979-03-19,20.2853,FINAL
1979-03-20,20.2756,FINAL
1979-03-21,20.2632,FINAL
1979-03-22,20.2541,FINAL
1979-03-23,20.2528,FINAL
1979-03-24,20.2651,FINAL
1979-03-25,20.2841,FINAL
1979-03-26,20.3009,FINAL
1979-03-27,20.3181,FINAL
1979-03-28,20.3391,FINAL
1979-03-29,20.3659,FINAL
1979-03-30,20.3881,FINAL
1979-03-31,20.3946,FINAL
1979-04-01,20.3894,FINAL
1979-04-02,20.3827,FINAL
1979-04-03,20.3773,FINAL
1979-04-04,20.3736,FINAL
1979-04-05,20.3696,FINAL
1979-04-06,20.3633,FINAL
1979-04-07,20.3543,FINAL
1979-04-08,20.3412,FINAL
1979-04-09,20.3308,FINAL
1979-04-10,20.3259,FINAL
1979-04-11,20.3226,FINAL
1979-04-12,20.3167,FINAL
1979-04-13,20.3040,FINAL
1979-04-14,20.2875,FINAL
1979-04-15,20.2767,FINAL
1979-04-16,20.2650,FINAL
1979-04-17,20.2577,FINAL
1979-04-18,20.2563,FINAL
1979-04-19,20.2614,FINAL
1979-04-20,20.2699,FINAL
1979-04-21,20.2813,FINAL
1979-04-22,20.2912,FINAL
1979-04-23,20.2985,FINAL
1979-04-24,20.2997,FINAL
1979-04-25,20.2947,FINAL
1979-04-26,20.2855,FINAL
1979-04-27,20.2733,FINAL
1979-04-28,20.2599,FINAL
1979-04-29,20.2515,FINAL
1979-04-30,20.2487,FINAL
1979-05-01,20.2488,FINAL
1979-05-02,20.2433,FINAL
1979-05-03,20.2298,FINAL
1979-05-04,20.2132,FINAL
1979-05-05,20.2002,FINAL
1979-05-06,20.1890,FINAL
1979-05-07,20.1786,FINAL
1979-05-08,20.1683,FINAL
1979-05-09,20.1615,FINAL
1979-05-10,20.1600,FINAL
1979-05-11,20.1621,FINAL
1979-05-12,20.1665,FINAL
1979-05-13,20.1699,FINAL
1979-05-14,20.1708,FINAL
1979-05-15,20.1693,FINAL
1979-05-16,20.1693,FINAL
1979-05-17,20.1651,FINAL
1979-05-18,20.1597,FINAL
1979-05-19,20.1548,FINAL
1979-05-20,20.1474,FINAL
1979-05-21,20.1413,FINAL
1979-05-22,20.1377,FINAL
1979-05-23,20.1390,FINAL
1979-05-24,20.1429,FINAL
1979-05-25,20.1462,FINAL
1979-05-26,20.1500,FINAL
1979-05-27,20.1547,FINAL
1979-05-28,20.1600,FINAL
1979-05-29,20.1621,FINAL
1979-05-30,20.1573,FINAL
1979-05-31,20.1501,FINAL
1979-06-01,20.1566,FINAL
1979-06-02,20.1571,FINAL
1979-06-03,20.1583,FINAL
1979-06-04,20.1560,FINAL
1979-06-05,20.1548,FINAL
1979-06-06,20.1600,FINAL
1979-06-07,20.1751,FINAL
1979-06-08,20.1934,FINAL
1979-06-09,20.2067,FINAL
1979-06-10,20.2160,FINAL
1979-06-11,20.2228,FINAL
1979-06-12,20.2289,FINAL
1979-06-13,20.2303,FINAL
1979-06-14,20.2245,FINAL
1979-06-15,20.2113,FINAL
1979-06-16,20.1975,FINAL
1979-06-17,20.1807,FINAL
1979-06-18,20.1693,FINAL
1979-06-19,20.1638,FINAL
1979-06-20,20.1614,FINAL
1979-06-21,20.1567,FINAL
1979-06-22,20.1463,FINAL
1979-06-23,20.1345,FINAL
1979-06-24,20.1273,FINAL
1979-06-25,20.1228,FINAL
1979-06-26,20.1185,FINAL
1979-06-27,20.1132,FINAL
1979-06-28,20.1115,FINAL
1979-06-29,20.1147,FINAL
1979-06-30,20.1200,FINAL
1979-07-01,20.1237,FINAL
1979-07-02,20.1202,FINAL
1979-07-03,20.1124,FINAL
1979-07-04,20.1044,FINAL
1979-07-05,20.0969,FINAL
1979-07-06,20.0905,FINAL
1979-07-07,20.0873,FINAL
1979-07-08,20.0873,FINAL
1979-07-09,20.0905,FINAL
1979-07-10,20.0970,FINAL
1979-07-11,20.1065,FINAL
1979-07-12,20.1170,FINAL
1979-07-13,20.1255,FINAL
1979-07-14,20.1300,FINAL
1979-07-15,20.1317,FINAL
1979-07-16,20.1387,FINAL
1979-07-17,20.1453,FINAL
1979-07-18,20.1522,FINAL
1979-07-19,20.1567,FINAL
1979-07-20,20.1596,FINAL
1979-07-21,20.1617,FINAL
1979-07-22,20.1642,FINAL
1979-07-23,20.1673,FINAL
1979-07-24,20.1708,FINAL
1979-07-25,20.1729,FINAL
1979-07-26,20.1729,FINAL
1979-07-27,20.1693,FINAL
1979-07-28,20.1642,FINAL
1979-07-29,20.1604,FINAL
1979-07-30,20.1573,FINAL
